index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
199,0.694784,1.04188e-05,9.14159e-06,1.65465,0.0128988,5.025,81.0505,0.1,1,0.1,-15700.031002
200,0.704748,1.03361e-05,8.95527e-06,1.67663,0.0127487,4.98834,81.139,0.1,1,0.1,-15595.100351
201,0.713718,1.04453e-05,8.78001e-06,1.70889,0.0125467,5.03433,81.0773,0.1,1,0.1,-15446.054659
202,0.713718,1.04453e-05,8.78001e-06,1.70889,0.0125467,5.03433,81.0773,0.1,1,0.1,-15446.054659
203,0.713718,1.04453e-05,8.78001e-06,1.70889,0.0125467,5.03433,81.0773,0.1,1,0.1,-15446.054659
204,0.713718,1.04453e-05,8.78001e-06,1.70889,0.0125467,5.03433,81.0773,0.1,1,0.1,-15446.054659
205,0.711889,1.03413e-05,8.75346e-06,1.74496,0.0121443,5.03903,80.972,0.1,1,0.1,-15350.508661
206,0.711889,1.03413e-05,8.75346e-06,1.74496,0.0121443,5.03903,80.972,0.1,1,0.1,-15350.508661
207,0.71435,1.02875e-05,8.53317e-06,1.78243,0.0122847,5.0582,81.2699,0.1,1,0.1,-15293.026464
208,0.712394,1.02145e-05,8.29206e-06,1.80154,0.0122257,5.06409,81.1137,0.1,1,0.1,-15254.667450
209,0.72154,1.04124e-05,8.34296e-06,1.81372,0.012456,5.07474,81.2647,0.1,1,0.1,-15199.526639
210,0.71991,1.00895e-05,8.32032e-06,1.87805,0.0124077,5.0625,81.2576,0.1,1,0.1,-15090.144475
211,0.724953,1.02543e-05,8.17568e-06,1.90895,0.0129214,5.0628,81.1478,0.1,1,0.1,-15068.239998
212,0.724953,1.02543e-05,8.17568e-06,1.90895,0.0129214,5.0628,81.1478,0.1,1,0.1,-15068.239998
213,0.716733,1.02629e-05,8.37543e-06,1.96394,0.0130884,5.0597,80.9799,0.1,1,0.1,-15050.582245
214,0.72089,1.05585e-05,8.25612e-06,1.9717,0.0121992,5.05075,80.7007,0.1,1,0.1,-14871.981717
215,0.72089,1.05585e-05,8.25612e-06,1.9717,0.0121992,5.05075,80.7007,0.1,1,0.1,-14871.981717
216,0.72089,1.05585e-05,8.25612e-06,1.9717,0.0121992,5.05075,80.7007,0.1,1,0.1,-14871.981717
217,0.718014,1.04803e-05,8.49995e-06,2.00115,0.0114766,5.05683,80.373,0.1,1,0.1,-14736.830035
218,0.718014,1.04803e-05,8.49995e-06,2.00115,0.0114766,5.05683,80.373,0.1,1,0.1,-14736.830035
219,0.718014,1.04803e-05,8.49995e-06,2.00115,0.0114766,5.05683,80.373,0.1,1,0.1,-14736.830035
220,0.718014,1.04803e-05,8.49995e-06,2.00115,0.0114766,5.05683,80.373,0.1,1,0.1,-14736.830035
221,0.722016,1.03608e-05,8.56048e-06,2.03062,0.0113682,5.05044,80.2828,0.1,1,0.1,-14648.586152
